UID          PID    PPID  C STIME TTY          TIME CMD
root         125       2  0 Apr19 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         126       2  0 Apr19 ?        00:00:21 [kworker/3:1H-kblockd]
root         129       2  0 Apr19 ?        00:00:20 [kworker/4:1H-kblockd]
root         151       2  0 Apr19 ?        00:00:20 [kworker/7:1H-kblockd]
root         161       2  0 Apr19 ?        00:00:20 [kworker/6:1H-kblockd]
root         168       2  0 Apr19 ?        00:00:20 [kworker/5:1H-kblockd]
root         180       2  0 Apr19 ?        00:00:21 [kworker/1:1H-kblockd]
root         198       2  0 Apr19 ?        00:00:00 [kworker/R-kmpathd]
root         199       2  0 Apr19 ?        00:00:00 [kworker/R-kmpath_handlerd]
root         317       2  0 Apr19 ?        00:00:00 [kworker/R-ena]
root         380       2  0 Apr19 ?        00:00:00 [jbd2/nvme0n1p16-8]
root         381       2  0 Apr19 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         384       2  0 Apr19 ?        00:00:00 [jbd2/nvme1n1-8]
root         385       2  0 Apr19 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         624       1  0 Apr19 ?        00:00:00 /usr/sbin/acpid
message+     627       1  0 Apr19 ?        00:00:31 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         635       1  0 Apr19 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         641       1  0 Apr19 ?        00:01:44 /snap/amazon-ssm-agent/13009/amazon-ssm-agent
root         645       1  0 Apr19 ?        00:00:25 /usr/lib/systemd/systemd-logind
root         664       1  0 Apr19 ?        00:00:01 /usr/sbin/cron -f -P
root         720       1  0 Apr19 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         805       1  0 Apr19 ttyS0    00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 - vt220
root         825       1  0 Apr19 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
ubuntu      1144       1  0 Apr19 ?        00:00:04 /usr/lib/systemd/systemd --user
ubuntu      1145    1144  0 Apr19 ?        00:00:00 (sd-pam)
ubuntu      1304       1  0 Apr19 ?        02:20:44 tmux new -t wzy
ubuntu      1305    1304  0 Apr19 pts/1    00:00:00 -bash
ubuntu      1306    1144  0 Apr19 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root       49648       2  0 13:20 ?        00:00:00 [kworker/3:1-events]
root      160953       2  0 14:27 ?        00:00:00 [kworker/5:2-cgroup_free]
root      162583       2  0 14:30 ?        00:00:00 [kworker/4:1-cgroup_free]
root      213004       2  0 15:08 ?        00:00:00 [kworker/0:1]
root      220439       2  0 15:13 ?        00:00:00 [kworker/6:2]
root      246076       2  0 Apr19 ?        00:00:00 [kworker/R-tls-strp]
root      297102       2  0 15:40 ?        00:00:00 [kworker/2:2-events]
root      315297       2  0 15:50 ?        00:00:00 [kworker/4:2-events]
root      333107       2  0 16:00 ?        00:00:00 [kworker/3:0]
root      346655       2  0 16:08 ?        00:00:00 [kworker/7:0-cgroup_free]
root      347700       2  0 16:11 ?        00:00:00 [kworker/1:0-mm_percpu_wq]
root      348318       2  0 16:12 ?        00:00:00 [kworker/u32:4-flush-259:0]
root      354975       2  0 16:18 ?        00:00:00 [kworker/1:2]
ubuntu    357477    1304  0 16:19 pts/3    00:00:00 bash /home/ubuntu/chipyard/tmp/firesim-aws-f2/tmux/pairdummy-sbus64-dummy8x8-gdbserver-cfg32-nic-notrace-runworkload-20260507-161937.command.sh
ubuntu    357479  357477  0 16:19 pts/3    00:00:00 tee -a /home/ubuntu/chipyard/tmp/firesim-aws-f2/tmux/pairdummy-sbus64-dummy8x8-gdbserver-cfg32-nic-notrace-runworkload-20260507-161937.pane.log
ubuntu    357531  357477  0 16:19 pts/3    00:00:02 python3 /home/ubuntu/chipyard/sims/firesim/deploy/firesim runworkload -c /home/ubuntu/chipyard/sims/firesim/deploy/config_runtime_f2_gemmini_rerocc_pairmanager_dummy8x8_4c12p12_sbus64_linux_bertmini_pipeline_runtime_batch8_fileonly_sync_gdbserver_cfg32_nic_notrace.yaml -a /home/ubuntu/chipyard/sims/firesim/deploy/config_hwdb_f2_gemmini_rerocc_pairmanager_dummy8x8_4c12p12_sbus64_bertmini_cfg32_nic_notrace.yaml -r /home/ubuntu/chipyard/sims/firesim-staging/sample_config_build_recipes.yaml
ubuntu    357533  357477  0 16:19 pts/3    00:00:00 bash /home/ubuntu/chipyard/tmp/firesim-aws-f2/tmux/pairdummy-sbus64-dummy8x8-gdbserver-cfg32-nic-notrace-runworkload-20260507-161937.command.sh
ubuntu    357535  357533  0 16:19 pts/3    00:00:00 tee -a /home/ubuntu/chipyard/tmp/firesim-aws-f2/tmux/pairdummy-sbus64-dummy8x8-gdbserver-cfg32-nic-notrace-runworkload-20260507-161937.watchdog.log
ubuntu    357537  357533  0 16:19 pts/3    00:00:00 sleep 10800
root      357783       2  0 16:20 ?        00:00:00 [kworker/5:0-events]
root      357787       2  0 16:20 ?        00:00:00 [kworker/u32:0-events_unbound]
root      359960       2  0 16:25 ?        00:00:00 [kworker/u32:2-events_power_efficient]
ubuntu    361618 3442780  0 16:29 ?        00:00:00 bash generators/gemmini/software/gemmini-rocc-tests/pipeline-runtime/scripts/run_pairdummy_cfg32_gdbserver_marker_stop.sh 192.168.1.202 172.16.0.2:2345 32345
ubuntu    361625  361618  0 16:29 ?        00:00:00 ssh -i /home/ubuntu/firesim.pem -o StrictHostKeyChecking=no -o UserKnownHostsFile=/dev/null -o ExitOnForwardFailure=yes -N -L 32345:172.16.0.2:2345 ubuntu@192.168.1.202
