    PID    PPID STAT     ELAPSED CMD
    105       2 S          03:19 [idle_inject/15]
    106       2 S          03:19 [migration/15]
    107       2 S          03:19 [ksoftirqd/15]
    108       2 I          03:19 [kworker/15:0-rcu_par_gp]
    109       2 I<         03:19 [kworker/15:0H-events_highpri]
    110       2 S          03:19 [cpuhp/16]
    111       2 S          03:19 [idle_inject/16]
    112       2 S          03:19 [migration/16]
    113       2 S          03:19 [ksoftirqd/16]
    114       2 I          03:19 [kworker/16:0-rcu_par_gp]
    115       2 I<         03:19 [kworker/16:0H-events_highpri]
    116       2 S          03:18 [cpuhp/17]
    117       2 S          03:18 [idle_inject/17]
    118       2 S          03:18 [migration/17]
    119       2 S          03:18 [ksoftirqd/17]
    120       2 I          03:18 [kworker/17:0-mm_percpu_wq]
    121       2 I<         03:18 [kworker/17:0H-events_highpri]
    122       2 S          03:18 [cpuhp/18]
    123       2 S          03:18 [idle_inject/18]
    124       2 S          03:18 [migration/18]
    125       2 S          03:18 [ksoftirqd/18]
    126       2 I          03:18 [kworker/18:0-cgroup_destroy]
    127       2 I<         03:18 [kworker/18:0H-events_highpri]
    128       2 S          03:18 [cpuhp/19]
    129       2 S          03:18 [idle_inject/19]
    130       2 S          03:18 [migration/19]
    131       2 S          03:18 [ksoftirqd/19]
    132       2 I          03:18 [kworker/19:0-rcu_par_gp]
    133       2 I<         03:18 [kworker/19:0H-events_highpri]
    134       2 S          03:18 [cpuhp/20]
    135       2 S          03:18 [idle_inject/20]
    136       2 S          03:18 [migration/20]
    137       2 S          03:18 [ksoftirqd/20]
    138       2 I          03:18 [kworker/20:0-events]
    139       2 I<         03:18 [kworker/20:0H-events_highpri]
    140       2 S          03:18 [cpuhp/21]
    141       2 S          03:18 [idle_inject/21]
    142       2 S          03:18 [migration/21]
    143       2 S          03:18 [ksoftirqd/21]
    144       2 I          03:18 [kworker/21:0-rcu_par_gp]
    145       2 I<         03:18 [kworker/21:0H-events_highpri]
    146       2 S          03:18 [cpuhp/22]
    147       2 S          03:18 [idle_inject/22]
    148       2 S          03:18 [migration/22]
    149       2 S          03:18 [ksoftirqd/22]
    150       2 I          03:18 [kworker/22:0-events]
    151       2 I<         03:18 [kworker/22:0H-events_highpri]
    152       2 S          03:18 [cpuhp/23]
    153       2 S          03:18 [idle_inject/23]
    154       2 S          03:18 [migration/23]
    155       2 S          03:18 [ksoftirqd/23]
    156       2 I          03:18 [kworker/23:0-mm_percpu_wq]
    157       2 I<         03:18 [kworker/23:0H-events_highpri]
    158       2 I          03:18 [kworker/u49:0-events_power_efficient]
    159       2 I          03:18 [kworker/u50:0-events_unbound]
    160       2 I          03:18 [kworker/u51:0-events_unbound]
    161       2 S          03:18 [kdevtmpfs]
    162       2 I<         03:18 [kworker/R-inet_]
    163       2 I          03:18 [kworker/u49:1-events_power_efficient]
    164       2 S          03:18 [kauditd]
    165       2 I          03:18 [kworker/0:2-cgroup_destroy]
    166       2 S          03:18 [khungtaskd]
    167       2 S          03:18 [oom_reaper]
    168       2 I          03:18 [kworker/u49:2-flush-259:0]
    169       2 I<         03:18 [kworker/R-write]
    170       2 S          03:18 [kcompactd0]
    171       2 SN         03:18 [ksmd]
    172       2 SN         03:18 [khugepaged]
    173       2 I<         03:18 [kworker/R-kinte]
    174       2 I<         03:18 [kworker/R-kbloc]
    175       2 I<         03:18 [kworker/R-blkcg]
    176       2 S          03:18 [irq/9-acpi]
    177       2 I          03:18 [kworker/12:1-events]
    178       2 I          03:18 [kworker/15:1-events]
    179       2 I<         03:18 [kworker/R-tpm_d]
    180       2 I<         03:18 [kworker/R-ata_s]
    181       2 I<         03:18 [kworker/R-md]
    182       2 I<         03:18 [kworker/R-md_bi]
    183       2 I<         03:18 [kworker/R-edac-]
    184       2 I          03:18 [kworker/u48:1-efi_rts_wq]
    185       2 I<         03:18 [kworker/R-devfr]
    186       2 S          03:18 [watchdogd]
    187       2 I          03:18 [kworker/20:1-rcu_gp]
    188       2 I<         03:18 [kworker/0:1H-kblockd]
    189       2 I          03:18 [kworker/1:1-rcu_par_gp]
    191       2 I          03:17 [kworker/2:1-events]
    192       2 S          03:17 [kswapd0]
    193       2 S          03:17 [ecryptfs-kthread]
    194       2 I<         03:17 [kworker/R-kthro]
    195       2 S          03:17 [irq/24-pciehp]
    196       2 S          03:17 [irq/25-pciehp]
    197       2 S          03:17 [irq/26-pciehp]
    198       2 S          03:17 [irq/27-pciehp]
    199       2 S          03:17 [irq/28-pciehp]
    200       2 S          03:17 [irq/29-pciehp]
    201       2 S          03:17 [irq/30-pciehp]
    202       2 S          03:17 [irq/31-pciehp]
    203       2 S          03:17 [irq/32-pciehp]
    204       2 S          03:17 [irq/33-pciehp]
    205       2 S          03:17 [irq/34-pciehp]
    206       2 S          03:17 [irq/35-pciehp]
    207       2 S          03:17 [irq/36-pciehp]
    208       2 S          03:17 [irq/37-pciehp]
    209       2 S          03:17 [irq/38-pciehp]
    210       2 S          03:17 [irq/39-pciehp]
    211       2 S          03:17 [irq/40-pciehp]
    212       2 S          03:17 [irq/41-pciehp]
    213       2 S          03:17 [irq/42-pciehp]
    214       2 S          03:17 [irq/43-pciehp]
    215       2 S          03:17 [irq/44-pciehp]
    216       2 S          03:17 [irq/45-pciehp]
    217       2 S          03:17 [irq/46-pciehp]
    218       2 S          03:17 [irq/47-pciehp]
    219       2 S          03:17 [irq/48-pciehp]
    220       2 S          03:17 [irq/49-pciehp]
    221       2 S          03:17 [irq/50-pciehp]
    222       2 S          03:17 [irq/51-pciehp]
    223       2 S          03:17 [irq/52-pciehp]
    224       2 S          03:17 [irq/53-pciehp]
    225       2 S          03:17 [irq/54-pciehp]
    226       2 S          03:17 [irq/55-pciehp]
    227       2 S          03:17 [irq/56-pciehp]
    228       2 S          03:17 [irq/57-pciehp]
    229       2 S          03:17 [irq/58-pciehp]
    230       2 S          03:17 [irq/59-pciehp]
    231       2 S          03:17 [irq/60-pciehp]
    232       2 S          03:17 [irq/61-pciehp]
    233       2 S          03:17 [irq/62-pciehp]
    234       2 S          03:17 [irq/63-pciehp]
    235       2 S          03:17 [irq/64-pciehp]
    236       2 S          03:17 [irq/65-pciehp]
    237       2 S          03:17 [irq/66-pciehp]
    238       2 S          03:17 [irq/67-pciehp]
