UID          PID    PPID  C STIME TTY          TIME CMD
root         255       2  0 10:08 ?        00:00:00 [kworker/17:2-cgroup_destroy]
root         256       2  0 10:08 ?        00:00:00 [kworker/R-mld]
root         257       2  0 10:08 ?        00:00:00 [kworker/17:1H-kblockd]
root         258       2  0 10:08 ?        00:00:00 [kworker/R-ipv6_]
root         265       2  0 10:08 ?        00:00:00 [kworker/R-kstrp]
root         267       2  0 10:08 ?        00:00:00 [kworker/3:1-events]
root         269       2  0 10:08 ?        00:00:00 [kworker/14:1-cgroup_destroy]
root         270       2  0 10:08 ?        00:00:00 [kworker/20:1-mm_percpu_wq]
root         271       2  0 10:08 ?        00:00:00 [kworker/6:1-mm_percpu_wq]
root         272       2  0 10:08 ?        00:00:00 [kworker/11:1-mm_percpu_wq]
root         274       2  0 10:08 ?        00:00:00 [kworker/21:1-events]
root         277       2  0 10:08 ?        00:00:00 [kworker/u52:0]
root         278       2  0 10:08 ?        00:00:00 [kworker/u53:0]
root         279       2  0 10:08 ?        00:00:00 [kworker/u54:0]
root         280       2  0 10:08 ?        00:00:00 [kworker/u55:0]
root         294       2  0 10:08 ?        00:00:00 [kworker/R-charg]
root         297       2  0 10:08 ?        00:00:00 [kworker/19:1-mm_percpu_wq]
root         302       2  0 10:08 ?        00:00:00 [jbd2/nvme0n1p1-8]
root         303       2  0 10:08 ?        00:00:00 [kworker/R-ext4-]
root         305       2  0 10:08 ?        00:00:00 [kworker/19:1H-kblockd]
root         306       2  0 10:08 ?        00:00:00 [kworker/1:1H-kblockd]
root         307       2  0 10:08 ?        00:00:00 [kworker/12:1H-kblockd]
root         308       2  0 10:08 ?        00:00:00 [kworker/2:1H-kblockd]
root         309       2  0 10:08 ?        00:00:00 [kworker/18:1H-kblockd]
root         311       2  0 10:08 ?        00:00:00 [kworker/8:1H-kblockd]
root         312       2  0 10:08 ?        00:00:00 [kworker/6:1H-kblockd]
root         313       2  0 10:08 ?        00:00:00 [kworker/7:1H-kblockd]
root         335       2  0 10:08 ?        00:00:00 [kworker/23:1H-kblockd]
root         345       2  0 10:08 ?        00:00:00 [kworker/15:1H-kblockd]
root         350       2  0 10:08 ?        00:00:00 [kworker/8:2-rcu_par_gp]
root         353       2  0 10:08 ?        00:00:00 [kworker/5:1H-kblockd]
root         355       2  0 10:08 ?        00:00:00 [kworker/21:1H-kblockd]
root         359       2  0 10:08 ?        00:00:00 [kworker/4:1H-kblockd]
root         360       1  0 10:08 ?        00:00:00 /usr/lib/systemd/systemd-journald
root         363       2  0 10:08 ?        00:00:00 [kworker/14:1H-kblockd]
root         367       2  0 10:08 ?        00:00:00 [kworker/9:1H-kblockd]
root         384       2  0 10:08 ?        00:00:00 [kworker/11:2-cgroup_destroy]
root         385       2  0 10:08 ?        00:00:00 [kworker/11:1H-kblockd]
root         387       2  0 10:08 ?        00:00:00 [kworker/9:2-cgroup_destroy]
root         388       2  0 10:08 ?        00:00:00 [kworker/10:1H-kblockd]
root         390       2  0 10:08 ?        00:00:00 [kworker/15:2-mm_percpu_wq]
root         410       2  0 10:08 ?        00:00:00 [kworker/R-kmpat]
root         411       2  0 10:08 ?        00:00:00 [kworker/R-kmpat]
root         414       2  0 10:08 ?        00:00:00 [kworker/19:3-cgroup_destroy]
root         423       1  0 10:08 ?        00:00:00 /sbin/multipathd -d -s
root         426       2  0 10:08 ?        00:00:00 [kworker/21:2-cgroup_destroy]
root         429       1  0 10:08 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root         431       2  0 10:08 ?        00:00:00 [kworker/6:2-cgroup_destroy]
root         437       2  0 10:08 ?        00:00:00 [kworker/22:2-cgroup_destroy]
root         443       2  0 10:08 ?        00:00:00 [kworker/22:1H-kblockd]
root         450       2  0 10:08 ?        00:00:00 [psimon]
root         464       2  0 10:08 ?        00:00:00 [kworker/20:1H-kblockd]
root         466       2  0 10:08 ?        00:00:00 [kworker/16:1H-kblockd]
root         468       2  0 10:08 ?        00:00:00 [kworker/3:1H-kblockd]
root         487       2  0 10:08 ?        00:00:00 [kworker/13:1H-kblockd]
root         537       2  0 10:08 ?        00:00:00 [kworker/R-crypt]
root         552       2  0 10:08 ?        00:00:00 [kworker/20:2-cgroup_destroy]
root         557       2  0 10:08 ?        00:00:00 [kworker/16:2-events]
root         565       2  0 10:08 ?        00:00:00 [kworker/u49:3-events_unbound]
root         566       2  0 10:08 ?        00:00:00 [kworker/u51:2-writeback]
root         567       2  0 10:08 ?        00:00:00 [kworker/R-ena]
root         586       2  0 10:08 ?        00:00:00 [kworker/10:2]
root         590       2  0 10:08 ?        00:00:00 [jbd2/nvme1n1-8]
root         591       2  0 10:08 ?        00:00:00 [kworker/R-ext4-]
root         619       2  0 10:08 ?        00:00:00 [jbd2/nvme0n1p16-8]
root         620       2  0 10:08 ?        00:00:00 [kworker/R-ext4-]
systemd+     654       1  0 10:08 ?        00:00:00 /usr/lib/systemd/systemd-resolved
root         765       2  0 10:08 ?        00:00:00 [kworker/7:3-cgroup_destroy]
systemd+     875       1  0 10:08 ?        00:00:00 /usr/lib/systemd/systemd-networkd
root         940       2  0 10:08 ?        00:00:00 [kworker/u51:3-flush-259:0]
root         985       1  0 10:08 ?        00:00:00 /usr/sbin/acpid
message+     988       1  0 10:08 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         994       1  0 10:08 ?        00:00:00 /usr/sbin/irqbalance
root         996       1  0 10:08 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
polkitd      999       1  0 10:08 ?        00:00:00 /usr/lib/polkit-1/polkitd --no-debug
root        1003       1  0 10:08 ?        00:00:03 /usr/lib/snapd/snapd
root        1005       1  0 10:08 ?        00:00:00 /usr/lib/systemd/systemd-logind
root        1006       1  0 10:08 ?        00:00:00 /usr/libexec/udisks2/udisksd
syslog      1023       1  0 10:08 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root        1047       1  0 10:08 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1053       2  0 10:08 ?        00:00:00 [kworker/2:3-cgroup_destroy]
root        1062       2  0 10:08 ?        00:00:00 [kworker/14:2-cgroup_destroy]
root        1089       1  0 10:08 ?        00:00:00 /usr/sbin/cron -f -P
root        1091       1  0 10:08 ?        00:00:00 /usr/sbin/ModemManager
root        1096       1  0 10:08 ttyS0    00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 - vt220
root        1104       1  0 10:08 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
_chrony     1108       1  0 10:08 ?        00:00:00 /usr/sbin/chronyd -F 1
_chrony     1152    1108  0 10:08 ?        00:00:00 /usr/sbin/chronyd -F 1
root        1161       2  0 10:08 ?        00:00:00 [kworker/12:3-cgroup_destroy]
root        1492       1  0 10:09 ?        00:00:00 sshd: /usr/sbin/sshd -D -o AuthorizedKeysCommand /usr/share/ec2-instance-connect/eic_run_authorized_keys %u %f -o AuthorizedKeysCommandUser ec2-instance-connect [listener] 0 of 10-100 startups
ubuntu      1498       1  0 10:09 ?        00:00:00 /usr/lib/systemd/systemd --user
ubuntu      1499    1498  0 10:09 ?        00:00:00 (sd-pam)
root        1970       2  0 10:09 ?        00:00:00 [kworker/R-tls-s]
root        2188       2  0 10:09 ?        00:00:00 [kworker/u51:6-writeback]
root        2255       2  0 10:09 ?        00:00:00 [kworker/23:17-cgroup_destroy]
root        2409       2  0 10:09 ?        00:00:00 [psimon]
root        2411       1  0 10:09 ?        00:00:00 /snap/amazon-ssm-agent/13009/amazon-ssm-agent
root        2698       2  0 10:10 ?        00:00:00 [kworker/10:3-mm_percpu_wq]
ubuntu      3226       1  0 10:11 ?        00:00:00 SCREEN -S virtual_jtag -d -m bash -c script -f -c 'sudo fpga-start-virtual-jtag -P 10201 -S 0'
ubuntu      3227    3226  0 10:11 pts/3    00:00:00 script -f -c sudo fpga-start-virtual-jtag -P 10201 -S 0
root        3228    3227  0 10:11 pts/4    00:00:00 sudo fpga-start-virtual-jtag -P 10201 -S 0
root        3229    3228  0 10:11 pts/5    00:00:00 sudo fpga-start-virtual-jtag -P 10201 -S 0
root        3230    3229  0 10:11 pts/5    00:00:00 bash /usr/local/bin/fpga-start-virtual-jtag -P 10201 -S 0
root        3231    3230  0 10:11 pts/5    00:00:00 fpga-local-cmd StartVirtualJtag -P 10201 -S 0
root        3416       1  0 10:12 ?        00:00:01 /usr/libexec/fwupd/fwupd
root        3532       1  0 10:12 ?        00:00:00 /usr/libexec/upowerd
ubuntu      4077       1  0 10:12 ?        00:00:00 SCREEN -S switch0 -d -m bash -c sudo pkill -x hw_server || true; sudo ip tuntap add mode tap dev tap0 user ubuntu || true; sudo ip link set dev tap0 down || true; sudo ip link set dev tap0 address 8e:6b:35:04:00:00; sudo ip addr flush dev tap0 || true; sudo ip addr add 172.16.0.1/16 dev tap0; sudo ip link set dev tap0 up; sudo sysctl -w net.ipv6.conf.tap0.disable_ipv6=1; script -f -c 'sudo ./switch0 6405 10 200' switchlog
ubuntu      4078    4077  0 10:12 pts/6    00:00:00 script -f -c sudo ./switch0 6405 10 200 switchlog
root        4109    4078  0 10:12 pts/1    00:00:00 sudo ./switch0 6405 10 200
root        4110    4109  0 10:12 pts/2    00:00:00 sudo ./switch0 6405 10 200
root        4111    4110 99 10:12 pts/2    00:19:04 ./switch0 6405 10 200
ubuntu      4324       1  0 10:12 ?        00:00:00 SCREEN -S fsim0 -d -m bash -c script -f -c 'stty intr ^] && sudo ./FireSim-f2 +permissive   +macaddr0=00:12:6D:00:00:02 +blkdev0=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver.img +niclog0=niclog0 +blkdev-log0=blkdev-log0 +dwarf-file-name=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver-bin-dwarf +autocounter-readrate=0 +autocounter-filename-base=AUTOCOUNTERFILE  +print-start=0 +print-end=-1 +linklatency0=6405 +netbw0=200 +shmemportname0=0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 +simplenic-relaxed-required-bytes=1 +simplenic-empty-switch-poll-interval=1024 +simplenic-token-debug=0 +cpu-managed-stream-debug=0 +heartbeat-polling-interval=100000000 +slotid=0 +permissive-off +prog0=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver-bin   && stty intr ^c' uartlog
ubuntu      4326    4324  0 10:12 pts/7    00:00:00 script -f -c stty intr ^] && sudo ./FireSim-f2 +permissive   +macaddr0=00:12:6D:00:00:02 +blkdev0=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver.img +niclog0=niclog0 +blkdev-log0=blkdev-log0 +dwarf-file-name=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver-bin-dwarf +autocounter-readrate=0 +autocounter-filename-base=AUTOCOUNTERFILE  +print-start=0 +print-end=-1 +linklatency0=6405 +netbw0=200 +shmemportname0=0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 +simplenic-relaxed-required-bytes=1 +simplenic-empty-switch-poll-interval=1024 +simplenic-token-debug=0 +cpu-managed-stream-debug=0 +heartbeat-polling-interval=100000000 +slotid=0 +permissive-off +prog0=rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver0-rerocc-lc-linux-coupleddma-bertmini-pipeline-runtime-batch8-fileonly-sync-pairdummy-gdbserver-bin   && stty intr ^c uartlog
